"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.94507","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.351622","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","Spatial Distribution Score","MeanState","global","score","1","0.9059","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","Bias","MeanState","global","scalar","kg m-2","0.987208","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","Bias Score","MeanState","global","score","1","0.368662","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","Overall Score","MeanState","global","score","1","0.637281","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.289932","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.910975","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.365318","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.661619","20.0"
