Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,RMSE Score,MeanState,global,score,1,0.779735
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,RMSE Score,MeanState,bona,score,1,0.806101
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Overall Score,MeanState,global,score,1,0.826903
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JSBACH,Overall Score,MeanState,bona,score,1,0.848714
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Period Mean (original grids),MeanState,global,scalar,W m-2,178.23
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Period Mean (original grids),MeanState,bona,scalar,W m-2,137.264
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Bias,MeanState,global,scalar,W m-2,11.2942
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Bias,MeanState,bona,scalar,W m-2,12.9939
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Bias Score,MeanState,global,score,1,0.790041
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Bias Score,MeanState,bona,score,1,0.840964
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Phase Shift,MeanState,global,scalar,months,0.372439
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Phase Shift,MeanState,bona,scalar,months,0.444792
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Seasonal Cycle Score,MeanState,global,score,1,0.97089
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,Seasonal Cycle Score,MeanState,bona,score,1,0.970536
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,FLUXNET2015,JULES,RMSE,MeanState,global,scalar,W m-2,24.6386
